(Do Not Modify) Opportunity,Topic,Potential Customer,Est. Revenue,Status Reason,Account,Status,Actual Revenue,Budget Amount,Current Situation,Customer Need,Decide Go/No-Go,Proposed Solution,Rating
1607937d-300f-e911-a951-000d3a1bc80d,Amazon Echo,Microsoft,9987336,In Progress,Microsoft,Open,9987335,9987445,The customer wants to present its top-performing employees with a valuable gift. ,"This year, the customer wants to gift a smartspeaker with intelligent personal assistant - Amazon Echo - to its top-performing employees. ",Yes,Proposed latest model of Amazon Echo and asked to enquire about the budget,Warm
fc0b1f3d-300f-e911-a951-000d3a1bc80d,Google Home Mini,Microsoft,6845473,In Progress,Microsoft,Open,6845476,6845645,The customer gives New Year gift to all the employees,The customer want to give a smart speaker like Google Home Mini to its employees.,No,Proposed latest model of Google Home Mini and asked to enquire about the budget,Hot
6cca40b8-300f-e911-a951-000d3a1bc80d,JBL Bluetooth Headphones,Microsoft,564448,In Progress,Microsoft,Open,564395,564554,The employees have been demanding Bluetooth headphones for a while,The customer decided to go with JBL Bluetooth Headphones which is both economical and of a good quality,Yes,Enquired about a range of JBL Bluetooth Headphones which are economical for the customer,Hot
9eb4916e-300f-e911-a951-000d3a1bc80d,Amazon Fire TV Stick,Microsoft,4556411,In Progress,Microsoft,Open,4556458,4556564,The customer has organised an event where they want to gift something valuable to the winners,"The customer decided to go with something which is useful in everyday life. Hence, they decided to go with Amazon Fire TV Stick ",Yes,Working on the bulk buy in options for Amazon Fire TV Stick,Warm
b9c2ff77-2f0f-e911-a951-000d3a1bc80d,Iphone SE,Microsoft,454308,In Progress,Microsoft,Open,454261,454456,The employees have been requesting for an iphone as a gift for holiday season,The customer is looking for economical options for iphones and decides to go with iphone SE,Yes,Proposed quote for different iphones and shared it with the customer,Warm
140e3423-300f-e911-a951-000d3a1bc80d,Lenovo Laptops,Microsoft,5645677,In Progress,Microsoft,Open,5645725,5645848,The customer is very happy with the laptop and is looking to extend their contract,"Customer is looking to give latest model of Lenovo Laptops to its new employees. This laptop should have features like Tough screen, latest processers annd higher RAM and GPU",Yes,Enquired about the different models of Lenovo laptops and asked to propose a budget for the same,Warm
3947ea7f-1a0f-e911-a951-000d3a1bc80d,Wireless Logitech mouse,Microsoft,4654454,In Progress,Microsoft,Open,4654437,4654564,The customer is  unhappy with the quality of mouse they have been using and would like to enquire for other options,Customer is looking to give Logitech Mouse to its employees as a replacement for their previous mouse,Yes,Proposed quote for different Wireless Logitech Mouse,Warm
097ccd0f-2f0f-e911-a951-000d3a1bc80d,HP Printer,Microsoft,5645648,In Progress,Microsoft,Open,5645648,5645648,The customer is very happy with the services provided and would like to extend their contract,The customer is looking to install 60 new printers in their office and these printers should have the ability to print from the cloud,No,Looked at all the new features introduced in the new set of HP Printers and asked to propose the budget for the same,Warm
4c99cc5e-2f0f-e911-a951-000d3a1bc80d,Iphone X,Microsoft,121235,In Progress,Microsoft,Open,121235,121235,The customer is looking to gift an iphone to its senior management team,The customer is looking at the features of different iphones and then decided to go with iphone X,No,Proposed quote for 30 Iphone X,Hot
4045006b-2f0f-e911-a951-000d3a1bc80d,Tesla Model 3,Microsoft,5645645,In Progress,Microsoft,Open,5645645,5645645,There is a huge buzz at customer's end about the new series of Tesla,The customer looked at the features and design of Tesla Model 3 and decided to go with it.,No,Shared quote for Tesla model 3 with the customer and also the equipments that will come along with the car,Hot
9b46ee9e-2f0f-e911-a951-000d3a1bc80d,Realtime GPS Tracker,Microsoft,56456456,In Progress,Microsoft,Open,56456456,56456456,The customer need GPS devices to be attached with their delivery vehicles,Looking to install GPS Trackers in the delivery vehicles so that they can have a record of each vehicle's location,No,"Proposing the features for the tracker and based on the features, quotes for the GPS Devices",Hot
d39730cd-2f0f-e911-a951-000d3a1bc80d,Audi A8,Microsoft,45648,In Progress,Microsoft,Open,45648,45648,The customer needs a car with higher acceleration,The customer needs a higher acceleration and a luxury car and hence decided to go with Audi A8,Yes,Replace the current car with Audi A8,Hot
e6b799e0-2f0f-e911-a951-000d3a1bc80d,Chromecast,Microsoft,56456456,In Progress,Microsoft,Open,56456456,56456456,The customer wants to give a gift to its clients,The customer is planning to givesomething which is valuable to everybody and can be used in daily lives.,Yes,"After comparing different AI-powered assistants, the customer decides to gift Chromecast",Warm
be33db19-310f-e911-a951-000d3a1bc80d,Iphone 8,Microsoft,513041,In Progress,Microsoft,Open,513076,513221,The customer wants to give a better quality and greatly featured phone to its new employees,The customer want to give an iphone which has great RAM and among the latest models of iphone ,Yes,Enquired on the different economical options for iphone and decided to go with iphone 8. The customer wants to prepare a budget for the same,Cold
f5c0d34a-1a0f-e911-a951-000d3a1bc80d,Oneplus 6T,Microsoft,22951,In Progress,Microsoft,Open,22991,23131,The employees are complaining about the phones and they need a better phone,"The customer has enquired about different brands, their features and their after sales service and decides to go with Oneplus",No,"Enquired about the different models of OnePlus and decides to  go with Oneplus 6T, and hence, proposed a quote for Oneplus 6T",Hot
2a9b1dcd-300f-e911-a951-000d3a1bc80d,BMW 4 Series,Microsoft,3513081,In Progress,Microsoft,Open,3513100,3513235,There is a lot of excitement from the customer's end about the latest bmw car,The customer goes through all the new features that BMW has introduced in the new model,No,"Impressed by the features of BMW Car, the customer wants to prepare the budget for buying the same",Cold
35bfb0df-300f-e911-a951-000d3a1bc80d,Apple MacBook,Microsoft,3030,In Progress,Microsoft,Open,3087,3215,The customer wants to give a high-end laptop to its senior dev team,"The customer wants a laptop that has high RAM, great user experience to work on.",No,Enquired on the different features on the different models of Macbook and asked to prepare a budget for the same,Hot
c4e0de5a-300f-e911-a951-000d3a1bc80d,Samsung Air Conditioners,Microsoft,531141,In Progress,Microsoft,Open,531058,531251,The customer needs to decide on a prizes for the winner of an event,The customer decides to go with Samsung Air Conditionerswhich can be used in everyday life,Yes,Proposed quote for latest model for Samsung Air Conditioners,Warm
49f08e92-2f0f-e911-a951-000d3a1bc80d,Bose Bluetooth headphones,Microsoft,53042,In Progress,Microsoft,Open,53034,53162,The customer wants to give a high-end headphone to the senior dev team,"The customer wanted a complete noise-cancellation headphones. Hence, they decided to go with Bose headphones",Yes,Enquired on the different features on the different models of Bose Headphones and asked to prepare a budget for the same,Warm
d4ee862d-310f-e911-a951-000d3a1bc80d,Apple TV,Microsoft,321380,In Progress,Microsoft,Open,321413,321555,There is a lot of excitement from the customer's end about the latest Apple TV,The customerwanted a smart TV which has all the latest features.,Yes,Enquired about the different smart TV and decided to go with Apple TV. They are proposing a budget for the same,Hot
